"Pathway","Genes","Category"
"resolution of DNA recombination intermediates","BLM,RMI2,RMI1,GEN1,TOP3A","GO"
"resolution of meiotic recombination intermediates","SHOC1,EME2,SLX4,CENPX,MLH1,ANKLE1,MUS81,MEIOB,CENPS,TOP2B,TOP2A,ERCC4,TEX11,FANCM,HFM1,RMI1,EME1","GO"
"resolution of mitotic recombination intermediates","XRCC3,GEN1","GO"
"respiratory burst","SLC11A1,CYBB,CD52,RAC2,NCF2,RAC1,CD24,NOX1,RAC3,PGAM1,NCF1B,CYBA,CD55,NCF4,NCF1,NCF1C","GO"
"respiratory burst after phagocytosis","SELENOK,HCK,TREM2,CYBC1","GO"
"respiratory burst involved in defense response","PIK3CG,PIK3CD,MPO","GO"
"respiratory burst involved in inflammatory response","PRDX2,LIPA","GO"
"respiratory electron transport chain","ETFDH,POLG2,SCO2,UQCRFS1,ETFB,PLEC,PUM2,ETFA,PPARGC1A,SDHB,AIFM2,GBA1,IMMP2L,VPS54,SDHA,SOD2,NDUFA5,MYBBP1A,PINK1,ETFRF1","GO"
"reticulophagy","SNX30,ULK1,DDRGK1,UFL1,TEX264,UFM1,RB1CC1,ATG9B,RETREG2,UFC1,ATG2B,STING1,ATG9A,ATG2A,ULK2,UBA5,RETREG3,RETREG1,SNX7,ULK3","GO"
"retinal metabolic process","RPE65,AKR1C3,CYP1B1,AKR1C1,ALDH1A3,ALDH8A1,RDH10,SDR16C5,RDH13,ALDH1A2,CYP27C1,BCO2,DHRS4,DHRS4L1,RDH11,ABCA4,DHRS4L2,BCO1","GO"
"retinoic acid biosynthetic process","ALDH1A3,RDH10,ALDH1A2,RBP1","GO"
"retinoic acid catabolic process","CYP2W1,CYP26A1,CYP26C1,CYP26B1","GO"
"retinoic acid metabolic process","CYP2C8,CYP3A5,ADH1C,ADH1B,ALDH1A3,ALDH8A1,UGT1A1,ADH7,CYP26A1,ADH1A,UGT1A3,ALDH1A2,CYP2C18,CYP3A4,CYP27C1,BCO2,ADH6,CYP3A7,CYP2S1,CYP26B1,UGT1A9,CRABP2,UGT1A8,UGT1A7,SCPEP1","GO"
"retinoid metabolic process","RPE65,AKR1C3,ALDH1A1,ADH1B,AKR1C1,AKR1C4,RBP3,AWAT2,RDH10,ADH7,LRP8,AKR1B1,RARRES2,ADH5,LRP1,LRAT,PLB1,RDH5,ADH4,RDH11,CYP4V2,ABCA4,LRP2,DHRS3,RDH12,AKR1B10,BCO1,NAPEPLD","GO"
"retinol O-fatty-acyltransferase activity","AWAT2,DGAT2,DGAT1","GO"
"retinol metabolic process","RPE65,AKR1C3,CYP2D6,CYP2C8,RDH16,CYP1B1,ALDH1A1,CYP3A5,ADH1C,ADH1B,ALDH1A3,PNPLA2,AWAT2,RDH10,ADH7,AKR1B1,LIPE,SDR16C5,CYP1A1,RDH13,DHRS7,LRAT,ADH1A,DGAT2,ALDH1A2,PNLIP,CYP1A2,CYP2C18,PLB1,HSD17B6,CYP3A4,CYP27C1,RDH8,RDH5,AKR1B15,ADH6,SDR9C7,RETSAT,ADH4,PNPLA4,CYP3A7,DHRS4,RBP4,RDH11,RDH14,DHRS3,DGAT1,RDH12,DHRS9,AKR1B10,CEL,BCO1","GO"
"retinyl-palmitate esterase activity","PNPLA2,LIPE,PLB1,PNPLA4,CEL","GO"
"retrograde protein transport, ER to cytosol","FAF2,ERLEC1,VCP,SEC61B,SEL1L,TMEM129,HSP90B1,AUP1,UFD1,HERPUD1,SYVN1,DERL2,SELENOS,DERL1,NPLOC4,OS9","GO"
"riboflavin biosynthetic process","RFK","GO"
"riboflavin metabolic process","SLC52A3,FLAD1,RFK,SLC52A2,SLC52A1","GO"
"ribokinase activity","RBKS","GO"
"ribonucleoside diphosphate biosynthetic process","AK4","GO"
"ribonucleoside diphosphate catabolic process","NUDT5","GO"
"ribonucleoside diphosphate metabolic process","RRM2,RRM2B,RRM1","GO"
"ribonucleoside monophosphate biosynthetic process","ADK,PRPS1,PRPS1L1,PRPS2","GO"
"ribonucleotide metabolic process","RNASEH2B","GO"
"ribophagy","RB1CC1","GO"
"ribose phosphate biosynthetic process","G6PD","GO"
"ribose phosphate metabolic process","NUDT5,NUDT14","GO"
"ribosome-associated ubiquitin-dependent protein catabolic process","TRIP4,ASCC2,RNF10,ZNF598,LTN1,NEMF,ASCC3","GO"
"sarcosine catabolic process","SARDH","GO"
"sarcosine metabolic process","GNMT","GO"
"saturated monocarboxylic acid metabolic process","ACOT4","GO"
"second spliceosomal transesterification activity","SLU7","GO"
"secondary metabolic process","ACMSD","GO"
"secondary piRNA processing","PIWIL4,PIWIL2","GO"
"selenium compound metabolic process","SEPHS2,SELENOP","GO"
"selenocysteine biosynthetic process","SEPHS2,SEPHS1","GO"
"selenocysteine catabolic process","SCLY","GO"
"selenocysteine incorporation","C6orf52,SARS1,EEFSEC,SECISBP2L,SEPSECS,SELENOT,DIO2,TRNAU1AP,SECISBP2","GO"
"selenocysteine metabolic process","SEPHS2","GO"
"self proteolysis","CAPN1,CAPN3,CAPN7,SHH,ADGRV1,CARD8,CASP8,IHH,DHH,NLRP1,TMPRSS6,LGMN","GO"
"serine family amino acid biosynthetic process","MTHFD1","GO"
"serine family amino acid catabolic process","THNSL2","GO"
"serine family amino acid metabolic process","MTHFD1,SRR","GO"
"serine phosphorylation of STAT protein","NLK","GO"
"serotonin biosynthetic process","TPH1,DDC,TPH2","GO"
"serotonin metabolic process","PDE1B,HTR1A,ATP7A,GRIN2A,BTBD9,RNF180,SRD5A1","GO"
"seryl-tRNA aminoacylation","SARS1,SARS2","GO"
"short-chain fatty acid biosynthetic process","OXSM","GO"
"short-chain fatty acid catabolic process","MCEE,PCCB,PCCA","GO"
"short-chain fatty acid metabolic process","CRAT,ACOT4","GO"
"siRNA processing","PRKRA,DICER1,TARBP2,TSN,AGO2,TERT,TSNAX,HENMT1","GO"
"siRNA transcription","TERT","GO"
"sialylation","ST3GAL2,ST6GAL2,ST6GAL1,ST8SIA2,C20orf173,ST3GAL4,ST3GAL1,ST8SIA3,ST8SIA4","GO"
"siderophore biosynthetic process","BDH2","GO"
"signal peptide processing","CLN5,PARL,SEC11A,IMMP2L,SPCS1,PCSK5,HM13,SPPL3,SPCS2,SPCS3,FURIN,IMMP1L,SEC11B,SEC11C","GO"
"signaling receptor ligand precursor processing","CSTL1,MEP1A,BACE1,CASP1","GO"
"single strand break repair","SIRT1,APTX,XRCC1,ERCC6,TNP1,APLF,LIG4,TDP1,ERCC8,XNDC1N","GO"
"single stranded viral RNA replication via double stranded DNA intermediate","SMARCB1","GO"
"single-stranded DNA 3'-5' DNA exonuclease activity","ISG20,MEIOB,POLE,EXD2,EXO5","GO"
"single-stranded DNA 5'-3' DNA exonuclease activity","PLD4,MGME1,EXO1,PLD3,EXO5","GO"
"single-stranded DNA endodeoxyribonuclease activity","EXOG,POLQ,RBBP8,SETMAR,RAD50,ERCC4,MRE11,ENDOG,ERCC1,DCLRE1C","GO"
"single-stranded DNA exodeoxyribonuclease activity","MGME1","GO"
"site-specific DNA-methyltransferase (adenine-specific) activity","N6AMT1,METTL4","GO"
"site-specific endodeoxyribonuclease activity, specific for altered base","APEX1,DNA2","GO"
"small molecule metabolic process","L2HGDH","GO"
"snRNA (adenine-N6)-methylation","METTL4,METTL16","GO"
"snRNA 3'-end processing","TOE1,INTS2,INTS8,INTS6,INTS6L,INTS5,INTS12,INTS7,INTS9,SAGE2P,INTS14,SAGE1,USB1","GO"
"snRNA catabolic process","RBM7,MTREX,ZCCHC8","GO"
"snRNA metabolic process","MEPCE","GO"
"snRNA modification","MEPCE","GO"
"snRNA processing","INTS2,INTS4,INTS10,INTS8,INTS6,INTS5,INTS12,INTS7,INTS9,INTS1,INTS3,INTS11,INTS14,TUT1,INTS13","GO"
"snRNA pseudouridine synthesis","NHP2,NOP10,DKC1","GO"
"snRNA transcription","SNAPC3,RPAP2,USPL1,SNAPC2","GO"
"snRNA transcription by RNA polymerase II","SNAPC1,ICE1,SNAPC3,ICE2,SNAPC5,ELL2,CDK7,ELL3,SNAPC4,ELL,ZC3H8","GO"
"snRNA transcription by RNA polymerase III","SNAPC1,ICE1,SNAPC3,ICE2,SNAPC5,SNAPC4,ELL,ZC3H8","GO"
"sno(s)RNA catabolic process","NUDT16,NUDT16L1","GO"
"snoRNA guided rRNA pseudouridine synthesis","NAF1,GAR1","GO"
"snoRNA splicing","RNF113B,RNF113A","GO"
"somatic diversification of immunoglobulins","CTNNBL1,AICDA","GO"
"somatic diversification of immunoglobulins involved in immune response","MAD2L2,SHLD1,SHLD3,SHLD2","GO"
"somatic hypermutation of immunoglobulin genes","POLQ,PMS2,MSH6,POLL,MLH1,SAMHD1,UNG,MSH2,POLB,AICDA,MCM3AP,EXO1","GO"
"somatic recombination of immunoglobulin gene segments","PMS2,MSH6,MSH3,MSH2","GO"
"somatic recombination of immunoglobulin genes involved in immune response","MSH2","GO"
"sorbitol catabolic process","SORD","GO"
"spermidine acetylation","SAT2,SAT1,SATL1","GO"
"spermidine biosynthetic process","AMD1,SRM","GO"
"spermidine catabolic process","DHPS,PAOX","GO"
"spermidine deacetylation","HDAC10,HDAC6","GO"
"spermidine metabolic process","DHPS","GO"
"spermine acetylation","SAT2","GO"
"spermine biosynthetic process","SMS,AMD1","GO"
"spermine catabolic process","PAOX,SMOX","GO"
"sphinganine biosynthetic process","SPTLC2,SPTLC1","GO"
"sphinganine metabolic process","DEGS2","GO"
"sphinganine-1-phosphate biosynthetic process","SPHK2","GO"
"sphinganine-1-phosphate metabolic process","SGPP1","GO"
"sphingoid biosynthetic process","SPTLC3","GO"
"sphingoid catabolic process","SPHK1","GO"
"sphingolipid biosynthetic process","HACD4,SPTSSB,PPM1L,SGMS2,CERS1,HACD2,PLPP2,KDSR,PRKD1,CERS2,HACD1,ACER2,SGPL1,SGPP1,ACER3,ACER1,SPTSSA,CERS5,ELOVL2,PLPP3,PLPP1,ELOVL6,ELOVL7,DEGS2,SGPP2,PRKD3,CERS4,FA2H,ORMDL3,ALDH3B1,PRKD2,CERS3,ORMDL2,ALDH3B2,ORMDL1,ELOVL5,SPTLC2,SPTLC1,ELOVL4,DEGS1,ELOVL1,SPHK1,SPNS2,SGMS1,CSNK1G2,SPHK2,SAMD8,CERS6,CERKL,SPTLC3,HACD3,ELOVL3","GO"
"sphingolipid catabolic process","SGPL1,VPS54,ENPP2,PPT1,SMPD2","GO"
"sphingolipid metabolic process","FADS3,TH,ARV1,ALOX12B,GAL3ST1,PSAP,ACER1,SFTPB,ZPBP2,PSAPL1,TEX2,SPTLC1,TECR,ALOXE3,CERKL,SERINC1","GO"
"sphingomyelin biosynthetic process","OSBP,SGMS2,PEMT,VAPA,ORMDL3,ABCA8,ORMDL1,SPTLC2,SPTLC1,SGMS1,SAMD8","GO"
"sphingomyelin catabolic process","SMPD1,SMPDL3A,SMPD3,SMPD4,SMPD2,SMPDL3B","GO"
"sphingomyelin metabolic process","SMPD1,ENPP7,SMPD3,ABCA2,SMPD2","GO"
"sphingosine biosynthetic process","SPTSSB,ACER2,ACER3,ACER1,SPTSSA,ASAH2,GBA1,ABCA2,SPTLC2,SPTLC1,SPHK1,SPHK2,SPTLC3,ASAH1","GO"
"sphingosine metabolic process","PLPP2,SGPP1,PLPP3,PLPP1,ASAH2,SGPP2,NAAA,SPHK1,SPHK2","GO"
"spliceosomal complex assembly","RBM5,SMN1,SF3B1,SF3A2,GEMIN6,ZRSR2,USP39,SNRPD2,SNRPD1,SNRPG,SNRPE,GEMIN2,NCBP1,SCAF11,CRNKL1,SF1,TXNL4A,GCFC2,PRPF6,U2AF2,PRPF19,DDX39B,SRPK2,SRPK1,RSRP1,DDX1,SRPK3","GO"
"spliceosomal complex disassembly","DHX8,TFIP11,DNAJC17","GO"
"spliceosomal snRNP assembly","CLNS1A,TSSC4,DDX20,SMN1,LSM4,COIL,GEMIN6,GEMIN4,SNRPD3,SNRPD2,SNRPD1,STRAP,SNRPG,SNRPF,SNRPE,GEMIN2,GEMIN8,GEMIN5,PRMT5,SART1,SART3,SNRPB,SNRPC,GEMIN7,WDR77,PRMT7,SNRPGP15,TGS1","GO"
"spliceosomal tri-snRNP complex assembly","TSSC4,PRPF3,SRSF10,DDX20,SRSF12,PRPF31,LSM2,AAR2,CD2BP2,PRPF8,PRPF6,SART3,USP4,PRPF19","GO"
"spliceosome conformational change to release U4 (or U4atac) and U1 (or U11)","SNRNP200","GO"
"starch catabolic process","MGAM","GO"
"steroid biosynthetic process","CYP51A1,FDX1,SDR42E1,PRLR,HSD3B2,CYP1A1,FDXR,FDFT1,HINT2,PBX1,SDR42E2,CYP19A1,CYP21A2,RDH8,LSS,DHRS11,SRD5A2,CYP3A7,ACBD3,STAR,CYP17A1,HSD17B1,HSD3B1,HSD17B3,SRD5A1","GO"
"steroid catabolic process","CYP1A2,CYP3A4,HSD11B1,SRD5A2,STS,HSD17B14","GO"
"steroid metabolic process","AKR1C3,CYP2D6,CYP2C8,RDH16,CYP1B1,CYP3A5,AKR1C4,AKR1C2,UGT2B17,UGT1A1,SULT1A2,BDH1,CYP1A1,SULT1A3,TSPO,STARD3,CYP2B6,G6PC1,SULT4A1,CYP2E1,CYP2C19,UGT2B15,HSD17B6,CYP2A6,NR1I2,CYP21A2,CYP3A4,SLC22A24,RDH5,SDR9C7,DHCR24,MSMO1,SULT2B1,CYP3A7,DHRS4,SULT2A1,SULT1A4,CYP17A1,DHRS9,SULT1E1,UGT2B28,UGT1A8,CYP3A43,HSD17B2,CYP2C9","GO"
"sterol biosynthetic process","CYB5R2,CH25H,FAXDC2,PRKAG2,SQLE,ERG28,CYB5R1,PMVK,MSMO1,HMGCR","GO"
"sterol metabolic process","CYP1B1,CYP51A1,ARV1,CYP46A1,CYP27A1,CYP11B1,CYP26A1,CYP7B1,CYP11A1,CYP19A1,CYP21A2,LIPA,CYP26C1,CYP39A1,CYP4V2,CYP26B1,CYP8B1,CYP7A1,CYP11B2,EBPL","GO"
"stilbene catabolic process","EPHX2","GO"
"stress-induced premature senescence","MAPK14,CDKN1A,SIRT1,MAPKAPK5","GO"
"substance P catabolic process","ECE1,MME,ACE","GO"
"substrate localization to autophagosome","STBD1,SMURF1,TOM1","GO"
"succinate metabolic process","SUCLG2,ALDH5A1,SUCLA2,SDHA,SDHAF3","GO"
"succinyl-CoA biosynthetic process","MMUT","GO"
"succinyl-CoA catabolic process","SUCLG2,NUDT8,NUDT7,SUCLA2,SUCLG1,NUDT19","GO"
"succinyl-CoA metabolic process","SUCLG2,DLST,OGDH,ACOT4,SUCLA2","GO"
"succinyl-CoA pathway","SUCLA2","GO"
"sucrose biosynthetic process","FBP2,FBP1","GO"
"sucrose catabolic process","SI","GO"
"sucrose metabolic process","GAA","GO"
"sulfate assimilation","PAPSS2,PAPSS1","GO"
"sulfation","SULT1B1,SULT1A2,SULT1A1,SULT1A3,EXT1,SULT4A1,SULT1C2,SULT6B1,SULT2B1,CHSY1,SULT1C3,SULT2A1,SULT1C4,SULT1A4,SULT1E1,EXT2","GO"
"sulfide oxidation, using sulfide:quinone oxidoreductase","TSTD1,SQOR,SLC25A10","GO"
"sulfur amino acid biosynthetic process","CDO1","GO"
"sulfur amino acid catabolic process","MPST,FMO1,TST","GO"
"sulfur compound metabolic process","CHST2,CHST1,ARSG,CHST8,SUOX,GAL3ST3,CHST4,CHST7,CHST9,CHST6,GAL3ST4,CHST5,PAX8,CHST3","GO"
"sulfur oxidation","MICAL2,MICAL1","GO"
"superoxide anion generation","CYBB,NCF2,ACP5,NOX1,EDN1,PRG3,NOXO1,SOD1,NCF1B,CYBA,NOX4,DUOX2,DUOX1,ALOX12,SH3PXD2A,NCF4,NOX3,SOD2,TAFA4,NOX5,NCF1,SH3PXD2B,NCF1C,NOXA1","GO"
"superoxide dismutase activity","SOD3,NQO1,SOD1,SOD2","GO"
"superoxide metabolic process","NRROS,CYBB,NCF2,NOS2,SLC1A1,SOD1,CBS,CYBA,NOX4,NAGLU,IMMP2L,SH3PXD2A,PREX1,CYB5R4,SOD2,CCS,NCF1,SH3PXD2B,NOXA1","GO"
"t-circle formation","XRCC3,BLM,TERF1,SLX4,WRN,DNA2,SMARCAL1,ERCC1,EXO1,SLX1A,NBN","GO"
"tRNA (guanine(46)-N7)-methyltransferase activity","METTL1","GO"
"tRNA (guanine-N7)-methylation","METTL1,WDR4","GO"
"tRNA 3'-end processing","SSB,PTCD1,TRNT1,ELAC2,ELAC1","GO"
"tRNA 3'-terminal CCA addition","TRNT1","GO"
"tRNA 5'-end processing","THG1L","GO"
"tRNA 5'-leader removal","POP4,RPP40,POP7,SSB,RPP25L,RPP25,RPP14,POP1,POP5,RPP30,RPP38,RPP21,PRORP","GO"
"tRNA C3-cytosine methylation","METTL8,DALRD3","GO"
"tRNA C5-cytosine methylation","NSUN6","GO"
"tRNA N1-guanine methylation","TRMT10A,TRMT10B,TRMT5","GO"
"tRNA N2-guanine methylation","TRMT112,TRMT1L,THUMPD3,TRMT1","GO"
"tRNA acetylation","NAT10","GO"
"tRNA aminoacylation","YARS2,DARS2","GO"
"tRNA aminoacylation for mitochondrial protein translation","EARS2","GO"
"tRNA aminoacylation for protein translation","HARS1,RARS1,HARS2,MARS2,NARS1,AARS1,VARS1,FARS2,WARS2,QARS1,RARS2,LARS1,LARS2,IARS1,GARS1,EPRS1,MARS1,IARS2","GO"
"tRNA catabolic process","DICER1,ANG,POP1,SLFN13,ELAC2","GO"
"tRNA demethylation","ALKBH1","GO"
"tRNA dihydrouridine synthase activity","DUS3L,DUS2,DUS4L,DUS1L","GO"
"tRNA dihydrouridine synthesis","DUS3L,DUS2,DUS4L,DUS1L","GO"
"tRNA exon ligation utilizing 2',3' cyclic phosphate of 5'-exon as source of linkage phosphate","RTCB","GO"
"tRNA guanylyltransferase activity","THG1L","GO"
"tRNA metabolic process","DTD2,DTD1","GO"
"tRNA methylation","TRMT112,ALKBH8,TRMT6,TRMT2B,TRMT61A,TRMT12,WDR6,LCMT2,MTO1,FTSJ1,METTL1,TRMT13,GTPBP3,BCDIN3D,NSUN2,METTL6,METTL2B,TRMT9B,NSUN6,THADA,TRMT2A,TRMT44,TARBP1,TRMO,THUMPD2,TRMT10A,METTL2A,TRDMT1,THUMPD3,TYW3","GO"
"tRNA methylthiolation","CDKAL1,CDK5RAP1","GO"
"tRNA modification","SARS1,OSGEP,AARS1,ELP5,SSB,DTWD2,THUMPD1,LCMT2,FTSJ1,METTL1,THG1L,ANKRD16,NSUN2,DTWD1,METTL6,WDR4,TRMT9B,NSUN6,PUS3,TRUB1,TRIT1,METTL2A,QTRT1,TRDMT1,TRMT1","GO"
"tRNA nucleoside ribose methylation","FTSJ1,THADA","GO"
"tRNA processing","ADAT3,TRUB2,POP7,AARS1,FARS2,SSB,LSM6,LAGE3,THG1L,GRSF1,POP1,KARS1,ADAT1,RPP30,RPP21,TP53RK","GO"
"tRNA pseudouridine synthesis","PUS1,PUSL1,PUS10,PUS3,PUS7","GO"
"tRNA splicing, via endonucleolytic cleavage and ligation","FAM98B,ZBTB8OS,RTCB,TSEN2,FAM98A,RTRAF,TSEN54,C2orf49,CLP1,TSEN15,TRPT1,DDX1","GO"
"tRNA surveillance","TRNT1","GO"
"tRNA thio-modification","CTU2,MOCS3,CTU1,URM1","GO"
"tRNA threonylcarbamoyladenosine metabolic process","CTAG2,LAGE3,CTAG1A,TP53RK","GO"
"tRNA threonylcarbamoyladenosine modification","TPRKB,OSGEP,OSGEPL1,YRDC,GON7","GO"
"tRNA transcription","BRF1,GTF3C1","GO"
"tRNA transcription by RNA polymerase III","POLR2L,GTF3C3,GTF3C5,GTF3C2,POLR3D,GTF3C4,GTF3C1,GTF3C6,POLR2F,POLR3E,POLR2E","GO"
"tRNA wobble adenosine to inosine editing","ADAT2","GO"
"tRNA wobble base 5-methoxycarbonylmethyl-2-thiouridinylation","DPH3,ELP3,ELP1","GO"
"tRNA wobble base cytosine methylation","NSUN3","GO"
"tRNA wobble cytosine modification","ALKBH1","GO"
"tRNA wobble position uridine thiolation","CTU2,TRMU,MOCS3,CTU1","GO"
"tRNA wobble uridine modification","CTU2,ALKBH8,KTI12,ELP4,ELP5,MOCS3,GTPBP3,TRMT9B,CTU1,ELP6,ELP2,URM1,ELP3,ELP1","GO"
"tRNA-dihydrouridine16 synthase activity","DUS1L","GO"
"tRNA-dihydrouridine17 synthase activity","DUS1L","GO"
"tRNA-dihydrouridine20 synthase activity","DUS2","GO"
"tRNA-dihydrouridine20a synthase activity","DUS4L","GO"
"tRNA-dihydrouridine20b synthase activity","DUS4L","GO"
"tRNA-guanine transglycosylation","QNG1,QTRT2,QTRT1","GO"
"tRNA-type intron splice site recognition and cleavage","TSEN2,TSEN54,TSEN34","GO"
"target-directed miRNA degradation","ZSWIM8,ELOB,ELOC","GO"
"taurine biosynthetic process","CSAD,FMO3,FMO1,CDO1","GO"
"taurine metabolic process","STAT5A,STAT5B,PHGDH,GHR,BAAT","GO"
"telomerase RNA reverse transcriptase activity","TERT","GO"
"telomerase activity","TERF1,TEP1,PTGES3,DKC1,TERT,TERF2","GO"
"telomere capping","TERF1,TINF2,ACD,SPDYA,CTC1,TERF2,DCLRE1B,TEN1,TERF2IP,STN1,POT1,PRKDC","GO"
"telomere maintenance","RUVBL1,BLM,PARP3,UCHL5,HUS1B,MCRS1,TERF1,RPA1,RAD51D,TFPT,LTO1,PTGES3,RPA3,NFRKB,RPA2,RECQL4,RUVBL2,INO80E,SP100,APEX1,ATR,ACD,YY1,WRN,TERT,RTEL1,XRCC5,INO80D,RAD50,ERCC4,CTC1,ZNF365,TERF2,DCLRE1B,CCNE2,ACTL6A,DNA2,XRCC6,ATM,TERF2IP,CCNE1,MRE11,STN1,ACTR5,ACTR8,INO80,ZNF827,INO80B,RIF1,PARP1,INO80C,DCLRE1C,NBN,HUS1,PRKDC","GO"
"telomere maintenance in response to DNA damage","MAD2L2,RTEL1,SHLD1,SHLD3,RIF1,SHLD2","GO"
"telomere maintenance via base-excision repair","APEX1","GO"
"telomere maintenance via recombination","XRCC3,RAD51C,RAD51D,TEP1,SMC5,RAD50,BRCA2,NSMCE2,RAD51,SMC6","GO"
"telomere maintenance via semi-conservative replication","BLM,UPF1,WRN,DNA2,FEN1","GO"
"telomere maintenance via telomerase","TERF1,RPA1,PTGES3,HSP90AB1,RFC1,TELO2,PINX1,NHP2,NOP10,ACD,DKC1,TERT,RAD50,TERF2IP,MRE11,TNKS1BP1,PIF1,POT1,GAR1,WRAP53,HSP90AA1","GO"
"telomere maintenance via telomere lengthening","ZSCAN4,ZBTB48,CTC1,DCLRE1B,TERF2IP,STN1,SLX1A,RAD51","GO"
"telomere maintenance via telomere trimming","XRCC3,NBN","GO"
"telomeric 3' overhang formation","RAD50,DCLRE1B,MRE11,NBN","GO"
"telomeric D-loop disassembly","BLM,TERF1,SLX4,RECQL4,WRN,TERF2,SLX1A,POT1","GO"
"telomeric DNA-containing double minutes formation","XRCC1,ERCC4,ERCC1","GO"
"telomeric loop disassembly","XRCC3,RTEL1","GO"
"telomeric loop formation","TERF2,DCLRE1B","GO"
"termination of RNA polymerase I transcription","TTF1,POLR1H,CAVIN1","GO"
"termination of RNA polymerase II transcription","XRN2,MAZ,SSU72L2,SSU72L4,SSU72L5,SSU72L1,SCAF8,MED18,SETX,PCF11,SSU72L6,SSU72L3,TTF2,SSU72","GO"
"termination of RNA polymerase III transcription","POLR3K","GO"
"termination of mitochondrial transcription","MTERF2,MTERF1","GO"
"terpene metabolic process","TH","GO"
"testosterone biosynthetic process","AKR1C3,CYP19A1,SRD5A2,HSD17B1,HSD17B3","GO"
"tetrahydrobiopterin biosynthetic process","DHFR,PCBD2,SPR,GCH1,QDPR,PTS,PCBD1","GO"
"tetrahydrobiopterin metabolic process","PRKG2","GO"
"tetrahydrofolate biosynthetic process","DHFR,GART,DHFR2,GCH1,ATIC","GO"
"tetrahydrofolate interconversion","MTHFR,TYMS,MTHFD2,SHMT2,MTHFD1L,MTHFD1,SHMT1,MTHFS,MTHFD2L","GO"
"tetrahydrofolate metabolic process","DHFR,MTHFD2,SHMT2,MTR,DHFR2,SHMT1,MTHFS","GO"
"tetrahydrofolylpolyglutamate biosynthetic process","FPGS","GO"
"tetrahydrofolylpolyglutamate metabolic process","GGH","GO"
"tetrahydrofolylpolyglutamate synthase activity","FPGS","GO"
"tetrapyrrole metabolic process","ABCB6","GO"
"thiamine diphosphate biosynthetic process","THTPA,SLC25A19,TPK1,SLC19A2,SLC19A3","GO"
"thiamine diphosphate metabolic process","THTPA","GO"
"thiamine metabolic process","ACP3,TKTL1,THTPA,TPK1","GO"
"thiamine-containing compound metabolic process","SLC25A19,SLC19A2,SLC19A3","GO"
"thiocyanate metabolic process","LPO","GO"
"thiocyanate peroxidase activity","LPO","GO"
"threonine catabolic process","GCAT,SDSL,SDS","GO"
"threonine metabolic process","PHGDH","GO"
"threonyl-tRNA aminoacylation","TARS2,TARS1,TARS3","GO"
"thymidine biosynthetic process","DHFR2,DTYMK,TK1","GO"
"thymidine catabolic process","DPYD","GO"
"thymidine kinase activity","TK1,TK2","GO"
"thymidine metabolic process","TK1,TK2","GO"
"thymidylate kinase activity","CMPK2,DTYMK","GO"
"thymine catabolic process","DPYS,DPYD,ALDH6A1","GO"
"thymine metabolic process","ALDH6A1","GO"
"thyroid hormone catabolic process","DIO3","GO"
"thyroid hormone generation","TPO,SLC5A5,CGA,FOXE1,MED1,CPQ,DUOX2,DUOX1,TG,SLC26A7,DIO2,CTSK,SLC16A10,SLC16A2,CTSB,DIO1","GO"
"thyroid hormone metabolic process","SULT1B1,DIO3,CRYM,GCNT4,DIO2,SLC16A2,SULT2A1,DIO1,IYD","GO"
"toxin biosynthetic process","CYP1A2","GO"
"toxin metabolic process","CYP1B1,N6AMT1,ARL1,FMO2,FMO1,AS3MT","GO"
"transcription by RNA polymerase I","POLR2L,UBTF,POLR1A,POLR2H,POLR2K,TAF1A,TAF1C,POLR2F,UBTFL6,UBTFL1,POLR1G,POLR1C,SPTY2D1,POLR1D,GTF2H1,POLR2E,POLR1B","GO"
